name,slug, years,date_of_information,ranking,region
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","45.1","2024",21,"Africa"
"Mauritius","mauritius","39.6","2024",66,"Africa"
"Seychelles","seychelles","38.7","2024",71,"Africa"
"Tunisia","tunisia","34.4","2024",102,"Africa"
"Morocco","morocco","30.6","2024",135,"Africa"
"South Africa","south-africa","30.4","2024",136,"Africa"
"Algeria","algeria","29.1","2024",146,"Africa"
"Cabo Verde","cabo-verde","28.8","2024",149,"Africa"
"Botswana","botswana","27.1","2024",161,"Africa"
"Djibouti","djibouti","26.3","2024",164,"Africa"
"Libya","libya","26.2","2024",165,"Africa"
"Eswatini","eswatini","24.6","2024",175,"Africa"
"Egypt","egypt","24.4","2024",177,"Africa"
"Lesotho","lesotho","23.9","2024",179,"Africa"
"Namibia","namibia","22.8","2024",182,"Africa"
"Comoros","comoros","22.7","2024",183,"Africa"
"Mauritania","mauritania","22.1","2024",185,"Africa"
"Equatorial Guinea","equatorial-guinea","22.1","2024",186,"Africa"
"Gabon","gabon","22","2024",187,"Africa"
"Ghana","ghana","21.4","2024",191,"Africa"
"Eritrea","eritrea","21.3","2024",192,"Africa"
"Madagascar","madagascar","21.3","2024",193,"Africa"
"Zimbabwe","zimbabwe","21.2","2024",194,"Africa"
"Cote d'Ivoire","cote-divoire","21.2","2024",195,"Africa"
"Kenya","kenya","21.2","2024",196,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","20.8","2024",197,"Africa"
"Rwanda","rwanda","20.8","2024",198,"Africa"
"Togo","togo","20.7","2024",199,"Africa"
"Congo, Republic of the","congo-republic-of-the","20.7","2024",200,"Africa"
"Central African Republic","central-african-republic","20.4","2024",202,"Africa"
"Ethiopia","ethiopia","20.4","2024",203,"Africa"
"Malawi","malawi","20.3","2024",204,"Africa"
"Gambia, The","gambia-the","20.2","2024",205,"Africa"
"Liberia","liberia","19.9","2024",207,"Africa"
"Guinea","guinea","19.4","2024",209,"Africa"
"Sierra Leone","sierra-leone","19.4","2024",210,"Africa"
"Nigeria","nigeria","19.3","2024",211,"Africa"
"Sudan","sudan","19.3","2024",212,"Africa"
"Senegal","senegal","19.2","2024",213,"Africa"
"Tanzania","tanzania","19.1","2024",214,"Africa"
"Somalia","somalia","19.1","2024",215,"Africa"
"Cameroon","cameroon","18.9","2024",216,"Africa"
"South Sudan","south-sudan","18.7","2024",217,"Africa"
"Burkina Faso","burkina-faso","18.7","2024",218,"Africa"
"Zambia","zambia","18.4","2024",219,"Africa"
"Burundi","burundi","18.4","2024",220,"Africa"
"Guinea-Bissau","guinea-bissau","18.4","2024",221,"Africa"
"Mozambique","mozambique","17.3","2024",222,"Africa"
"Benin","benin","17.2","2024",223,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","16.9","2024",224,"Africa"
"Chad","chad","16.7","2024",225,"Africa"
"Mali","mali","16.4","2024",226,"Africa"
"Angola","angola","16.3","2024",227,"Africa"
"Uganda","uganda","16.2","2024",228,"Africa"
"Niger","niger","15.2","2024",229,"Africa"